leg,joint,cmd_delta_rad,act_delta_rad
hover,0,-0.000170812,-0.000178792
hover,0,-0.000046991,-0.000061825
hover,0,0.000004171,-0.000003211
hover,0,0.000031677,0.000024851
hover,0,0.000045099,0.000038773
hover,0,0.000051465,0.000045706
hover,0,0.000048024,0.000049185
hover,0,0.000054652,0.000050090
hover,0,0.000056020,0.000051435
hover,0,0.000057606,0.000052284
hover,0,0.000060496,0.000052992
hover,0,0.000054284,0.000053916
hover,0,0.000059918,0.000053477
hover,0,0.000059423,0.000053968
hover,0,0.000057672,0.000054471
hover,0,0.000054978,0.000054553
hover,0,0.000060986,0.000054151
hover,0,0.000058685,0.000054937
hover,0,0.000058507,0.000055019
hover,0,0.000058525,0.000055116
hover,0,0.000058545,0.000055250
hover,0,0.000058635,0.000055343
hover,0,0.000058820,0.000055466
hover,0,0.000058905,0.000055607
hover,0,0.000058937,0.000055760
hover,0,0.000059031,0.000055861
hover,0,0.000059253,0.000055958
hover,0,0.000059813,0.000056073
hover,0,0.000063180,0.000056289
hover,0,0.000057354,0.000057086
hover,0,0.000057414,0.000056278
hover,0,0.000060716,0.000056148
hover,0,0.000057775,0.000056610
hover,0,0.000060051,0.000056457
hover,0,0.000063361,0.000056654
hover,0,0.000056271,0.000057437
hover,0,0.000059846,0.000056542
hover,0,0.000059080,0.000056747
hover,0,0.000059406,0.000056814
hover,0,0.000063786,0.000056885
hover,0,0.000059365,0.000057630
hover,0,0.000060042,0.000057250
hover,0,0.000059029,0.000057437
hover,0,0.000059214,0.000057068
hover,0,0.000058859,0.000057157
hover,0,0.000061655,0.000057213
hover,0,0.000060465,0.000057548
hover,0,0.000060618,0.000057541
hover,0,0.000060009,0.000057492
hover,0,0.000059215,0.000057664
hover,0,0.000059192,0.000057317
hover,0,0.000060746,0.000057358
hover,0,0.000061288,0.000057559
hover,0,0.000059897,0.000057679
hover,0,0.000062096,0.000057645
hover,0,0.000059690,0.000058018
hover,0,0.000060148,0.000057746
hover,0,0.000060369,0.000057679
hover,0,0.000060557,0.000057757
hover,0,0.000060605,0.000057813
hover,0,0.000060638,0.000057865
hover,0,0.000060636,0.000057872
hover,0,0.000060638,0.000057887
hover,0,0.000060647,0.000057910
hover,0,0.000060645,0.000057928
hover,0,0.000060590,0.000057928
hover,0,0.000064367,0.000057936
hover,0,0.000062551,0.000058889
hover,0,0.000062307,0.000058658
hover,0,0.000062138,0.000058539
hover,0,0.000062047,0.000058528
hover,0,0.000059543,0.000058539
hover,0,0.000060527,0.000057902
hover,0,0.000061040,0.000058178
hover,0,0.000060914,0.000058368
hover,0,0.000061436,0.000058483
hover,0,0.000061389,0.000058502
hover,0,0.000061779,0.000058588
hover,0,0.000061457,0.000058629
hover,0,0.000061190,0.000058647
hover,0,0.000061673,0.000058532
hover,0,0.000061362,0.000058632
hover,0,0.000062107,0.000058599
hover,0,0.000061204,0.000058614
hover,0,0.000061188,0.000058766
hover,0,0.000061918,0.000058770
hover,0,0.000061781,0.000058748
hover,0,0.000061832,0.000058755
hover,0,0.000061862,0.000058759
hover,0,0.000061260,0.000058759
hover,0,0.000062513,0.000058863
hover,0,0.000061456,0.000058752
hover,0,0.000061091,0.000058886
hover,0,0.000063426,0.000058904
hover,0,0.000060913,0.000058856
hover,0,0.000060868,0.000056155
hover,0,0.000048997,0.000046488
hover,0,0.000032721,0.000030596
hover,0,0.000015787,0.000013471
hover,0,-0.000000147,-0.000001803
hover,0,-0.000013729,-0.000014782
hover,0,-0.000024357,-0.000026230
hover,0,-0.000035568,-0.000034705
hover,0,-0.000076746,-0.000069547
hover,0,-0.000361910,-0.000308674
hover,0,-0.000242045,-0.000182353
hover,0,0.000082152,0.000130944
hover,0,-0.000378451,-0.000317793
hover,0,-0.000242700,-0.000219699
hover,0,-0.000123350,-0.000097305
hover,0,-0.000395344,-0.000381630
hover,0,-0.000341889,-0.000337418
hover,0,-0.000203855,-0.000198152
hover,0,-0.000434881,-0.000431027
hover,0,-0.000326768,-0.000336517
hover,0,-0.000081550,-0.000081986
hover,0,-0.000491794,-0.000469558
hover,0,-0.000234612,-0.000244901
hover,0,-0.000313322,-0.000302196
hover,0,-0.000440197,-0.000443537
hover,0,-0.000246122,-0.000258248
hover,0,-0.000121513,-0.000125650
hover,0,-0.000619552,-0.000600547
hover,0,0.000048362,0.000041276
hover,0,-0.000632309,-0.000627130
hover,0,-0.000094730,-0.000095434
hover,0,-0.000546253,-0.000542194
hover,0,-0.000131763,-0.000131652
hover,0,-0.000525885,-0.000527427
hover,0,-0.000104830,-0.000110984
hover,0,-0.000532360,-0.000531249
hover,0,-0.000123910,-0.000122808
hover,0,-0.000526180,-0.000522152
hover,0,-0.000117783,-0.000121422
hover,0,-0.000526979,-0.000521734
hover,0,-0.000126620,-0.000132889
hover,0,-0.000515095,-0.000512294
hover,0,-0.000134001,-0.000137962
hover,0,-0.000516552,-0.000506341
hover,0,-0.000135991,-0.000148177
hover,0,-0.000501934,-0.000497736
hover,0,-0.000142907,-0.000146106
hover,0,-0.000499739,-0.000495300
hover,0,-0.000148607,-0.000152878
hover,0,-0.000496482,-0.000490554
hover,0,-0.000156778,-0.000163943
hover,0,-0.000486019,-0.000477746
hover,0,-0.000161709,-0.000171565
hover,0,-0.000479933,-0.000471763
hover,0,-0.001782238,-0.000191920
hover,0,0.000006553,0.000013821
hover,0,0.000482726,0.000468262
hover,0,0.000070977,0.000085570
hover,0,0.000445615,0.000436500
hover,0,0.000033641,0.000043839
hover,0,0.000532881,0.000527792
hover,0,-0.000074334,-0.000070766
hover,0,0.000490167,0.000506967
hover,0,0.000151575,0.000151366
hover,0,0.000432436,0.000438690
hover,0,-0.000040345,-0.000033282
hover,0,0.000496082,0.000481181
hover,0,0.000100590,0.000117220
hover,0,0.000404956,0.000396743
hover,0,-0.000034702,-0.000031389
hover,0,0.000485186,0.000489570
hover,0,-0.000103447,-0.000102229
hover,0,0.000567461,0.000568666
hover,0,-0.000151998,-0.000150159
hover,0,0.000564887,0.000560470
hover,0,-0.000027729,-0.000020467
hover,0,0.000243939,0.000234447
hover,0,0.000473808,0.000475593
hover,0,-0.000155342,-0.000154100
hover,0,0.000564643,0.000570506
hover,0,-0.000102156,-0.000098832
hover,0,0.000608042,0.000606492
hover,0,-0.000127306,-0.000124887
hover,0,0.000499997,0.000502475
hover,0,-0.000065432,-0.000064217
hover,0,0.000375320,0.000373647
hover,0,0.000199257,0.000199683
hover,0,0.000111595,0.000116192
hover,0,0.000557799,0.000556961
hover,0,-0.000178248,-0.000177838
hover,0,0.000609775,0.000611469
hover,0,-0.000033883,-0.000034094
hover,0,0.000341637,0.000357434
hover,0,0.000190556,0.000186361
hover,0,0.000267657,0.000260539
hover,0,0.000063746,0.000061817
hover,0,0.000529915,0.000522789
hover,0,-0.000161857,-0.000155605
hover,0,0.000625168,0.000618227
hover,0,-0.000128852,-0.000120766
hover,0,0.000507956,0.000509005
hover,0,0.000143762,0.000148937
hover,0,-0.000012220,-0.000012834
hover,0,0.000653445,0.000649415
hover,0,-0.000292584,-0.000292461
hover,0,0.000794231,0.000791803
hover,0,-0.000019713,-0.000012670
hover,0,-0.000046284,-0.000047825
hover,0,0.000809003,0.000806764
hover,0,-0.000175995,-0.000173777
hover,0,0.000243313,0.000250954
