depth_m,force_n,physx_touch
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.030000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.010000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
-0.002000,0.000000,0
0.000000,58.067264,1
0.000000,59.887156,1
0.000000,57.372441,1
0.000000,60.541302,1
0.000000,57.704810,1
0.000000,60.194473,1
0.000000,57.796925,1
